id,Question,Response
14800,a third party ?,yes . the john doe party .
14801,the websters .,the websters !
14802,oh yes father certainly would .,wait a minute . . .
14803,wait a minute . . .,huh ?
14804,what s that ?,the letter .
14805,the letter .,what letter ?
14806,what letter ?,the letter from john doe .
14807,the letter from john doe .,oh !
14808,there is no letter .,we ll get a handwriting expert to what !
14809,we ll get a handwriting expert to what !,there is no letter .
14810,you made it up .,uh huh . you said you wanted fireworks .
14811,in what man !,john doe .
14812,john doe .,what john doe ?
14813,john doe .,what john doe ?
14814,well you re catching on .,who for instance ?
14815,who for instance ?,anybody ! er er beany ll do !
14816,okay sister you get your job back .,plus a bonus .
14817,plus a bonus .,what bonus ?
14818,i can read . i can read !,sorry .
14819,hurry up pop .,oh .
14820,oh .,right here . sit down .
14821,oh swell ! is that the contract ?,yes . what s he doing here ?
14822,yes . what s he doing here ?,friend of his . they play duets together .
14823,friend of his . they play duets together .,duets ? but can we trust him ?
14824,duets ? but can we trust him ?,oh !
14825,okay fellows .,take it easy john doe .
14826,oh stop worrying . he s all right .,that s
14827,has he been here ?,no .
14828,no .,have you seen him ?
14829,have you seen him ?,i ain t seen him for a week .
14830,i ain t seen him for a week .,where s connell ?
14831,where s connell ?,he s watching the other door .
14832,he s watching the other door .,oh . gee you re swell ! oh .
14833,had any schooling ?,yeah a little .
14834,yeah a little .,what do you do when you work ?
14835,what do you do when you work ?,i used to pitch .
14836,i used to pitch .,baseball ?
14837,baseball ?,uh huh . till my wing went bad .
14838,uh huh . till my wing went bad .,where d you play ?
14839,ann ! say why didn t yuh,beany !
14840,hey boss . get a load of this .,what ?
14841,what ?,look !
14842,yeah yeah yeah .,both of em ?
14843,hey wait a minute mr . doe !,. . . tubby ?
14844,help yourself .,naw .
14845,who s got him ?,the heelots !
14846,the heelots !,who ?
14847,the heelots !,who are they ?
14848,listen sucker yuh ever been broke ?,sure . mostly often .
14849,how could he be a fake ?,it must be some kind of a gag .
14850,it must be some kind of a gag .,a what ?
14851,a what ?,a gag . a gag !
14852,four bits .,better make it doughnuts huh ?
14853,better make it doughnuts huh ?,yeh .
14854,join the john doe club .,john doe club ?
14855,now that s all right isn t it ?,you betcha .
14856,well i don t get it .,huh ? get what ?
14857,did you write that letter to miss mitchell ?,no i didn t .
14858,how about family ? got any family ?,no .
14859,no .,oh just traveling through huh ?
14860,what difference does that make ?,did you write it or didn t you ?
14861,did you write it or didn t you ?,no i didn t write it but
14862,it s for ann . . .,oh how nice ! thank you very much .
14863,oh how nice ! thank you very much .,flowers .
14864,flowers .,i m terribly sorry she isn t here .
14865,i m terribly sorry she isn t here .,she isn t ?
14866,thanks . good night mrs . mitchell .,good night john .
14867,that s too bad .,what do you mean too bad ?
14868,i know one way you can do it .,how ?
14869,have you got the speech i gave you ?,yeah .
14870,what ?,out the window ! something just flew by !
14871,out the window ! something just flew by !,i didn t see anything .
14872,is there a crowd in the street ?,no sir .
14873,hello guys .,hello roper . glad you could join us .
14874,they re not usually graduate students .,swat wants to go in .
14875,floor seats .,you re my hero .
14876,you re my hero .,dinner s on you .
14877,dinner s on you .,deal .
14878,where s the stereo ?,fuck the stereo . what s that smell ?
14879,apartment .,you want me to go up with you ?
14880,what s the line ?,it was warriors plus this morning .
14881,it was warriors plus this morning .,i ll take half of your action .
14882,could i please have a little water ?,of course .
14883,what happened mike .,you don t want to know .
14884,this has nothing to do with walter .,they want walter dead !
14885,i hate fucking springfield .,is that where you re family lives ?
14886,where s the car ?,i need to get something straight first .
14887,am i gettin the car ?,you re gettin the car .
14888,what ? !,you want a convertible or hardtop ?
14889,manual or automatic ?,automatic .
14890,automatic .,you got it .
14891,hold on a second here .,is there a problem ?
14892,you signed out twice .,i what ?
14893,hi roper .,hi kimura . where s the command post ?
14894,that s right .,what s the suspect s name ?
14895,what s the suspect s name ?,earl .
14896,anything on korda so far ?,solis said to keep you clear of this .
14897,are you in charge roper ?,yep .
14898,is that all ?,for now that s all .
14899,satisfied ?,open the bag dump everything on the table .
14900,it s all there .,spread it out .
14901,you ever been in a hostage situation ?,only at the very end .
14902,only at the very end .,how do you feel after a shooting .
14903,how do you feel after a shooting .,like it had to be done .
14904,it rarely has to be done .,i ve rarely shot anyone .
14905,i ve rarely shot anyone .,swat is a lifesaving unit you know .
14906,swat is a lifesaving unit you know .,i know .
14907,i know .,try to remember that .
14908,they recruited me . promised me fast advancement .,recruited you from where ?
14909,recruited you from where ?,national marksman competition .
14910,furthest point i could find from new york .,you don t like new york ?
14911,how did you like toronto ?,it was okay .
14912,is there something wrong with that ?,i m not sure .
14913,i don t really like to drink .,you have to . it s a tradition .
14914,you have to . it s a tradition .,well if i have to i have to .
14915,you got a girlfriend ?,why ? you like my ass ?
14916,yeah i ve got a girlfriend .,you living together ?
14917,we see each other every couple of months .,every couple of months huh ?
14918,where did you hear that ?,around . barnett s tough competition .
14919,i think i can handle that one .,yeah you think so but it comes up .
14920,you think you can learn mccall ?,i think so .
14921,no .,it ll come . try again .
14922,i m not good at lying .,get good at it .
14923,get good at it .,it s against my nature .
14924,you know the ten commandments ?,yes .
14925,yes .,what s the first commandment ?
14926,what s the first commandment ?,thou shall have no other god before me .
14927,yes .,why ?
14928,why ?,to save lives .
14929,my name s mccall . i m unarmed .,okay stop .
14930,you know why i like the track ?,you re a compulsive gambler ?
14931,ronnie . . . yeah so .,now she s going out with greg barnett ?
14932,i m just practicing my lying .,still needs work .
14933,the horse is last .,that s okay . that s his style .
14934,that s okay . that s his style .,to run last ?
14935,to run last ?,to run late !
14936,the horse is still last .,he ll be running at the quarter pole .
14937,they need to run first and second ?,yeah first and second .
14938,the jockey !,come on russell !
14939,we won !,we lost .
14940,we lost .,we won .
14941,we won .,how much you wanna bet ?
14942,how long you been coming here ?,about six years . my partner took me .
14943,about six years . my partner took me .,is it always like this ?
14944,is it always like this ?,occasionally you lose .
14945,there s your answer . he s smart .,he s cutting down the visibility .
14946,he s cutting down the visibility .,and doing a very good job of it .
14947,he s got the girl .,damnit !
14948,you re crazy .,pull up alongside .
14949,so what do you want to do ?,that s a chance i gotta take .
14950,have you evacuated anyone ?,only that floor .
14951,only that floor .,is the hostage injured ?
14952,who the fuck are you mother teresa ?,my name s scott roper .
14953,i worship you .,you worship yourself .
14954,you worship yourself .,ronnie forget this what s his name .
14955,ronnie forget this what s his name .,greg .
14956,i m going out with greg tomorrow .,this greg is really getting in my way .
14957,hey .,hey yourself . came by to see troy .
14958,i m not drunk . yet .,maybe you should be .
14959,maybe you should be .,you heard .
14960,yeah . i m sorry .,can i come in ?
14961,scott you can t save everyone .,i ve proved that didn t i ?
14962,what do you want from me ?,something i guess i can t have anymore .
14963,you think i didn t need you ?,if you did you never showed it .
14964,if you did you never showed it .,ronnie . . .
14965,you got a bet on the game tonight ?,as a matter of fact i do .
14966,i ve been craving that stuff all week .,and it s hard to get .
14967,what do you think ?,mmm needs a little something .
14968,it s okay . we broke up .,when ?
14969,when ?,just now .
14970,you like this place ?,it s very nice .
14971,yeah ?,. . .let me just show you .
14972,korda escaped .,and you think he ll . . .
14973,stay here don t move .,scottie . . .
14974,scottie . . .,do it !
14975,scottie ?,hmm ?
14976,hmm ?,i ve been thinking .
14977,the hell i am !,prude .
14978,roper .,what ?
14979,impound isn t a rent a car company .,the car is part of the deal .
14980,the car is part of the deal .,what happened to your trans am ?
14981,repoed this morning .,i ll provide you with transportation .
14982,i can t do that .,i want to be put on this case .
14983,who s running it ?,roper . . .
14984,roper . . .,who s running it !
14985,who s running it !,kimura and glass will head the investigation .
14986,what have you promised them ?,just that i d talk to my superiors .
14987,are these yours ?,yeah they are but . . .
14988,yeah they are but . . .,come on !
14989,this is halden .,halden how nice to hear your voice .
14990,halden how nice to hear your voice .,what do you want ?
14991,what do you need ?,i need to take back what s mine .
14992,yes .,they have nothing to do with this
14993,god damn you !,yes i believe he has
14994,it s okay .,okay . . .
14995,okay . . .,it s all been transferred .
14996,why ?,to live forever .
14997,how come i can t remember ?,because i took it out of your memory .
14998,because i took it out of your memory .,why
14999,this is how you pick up women,no .
15000,you were right .,about what ?
15001,who are you ? !,someone who believes in miracles .
15002,it s all here . . .,yes .
15003,the guests are here .,guests ?
15004,guests ?,just like you always wanted .
